Codice Prodotto,ID Categoria,Nome Prodotto,Descrizione Specifiche,Prezzo Unitario,Unità di Misura,Quantità in Magazzino,Tag Prodotto,Icona Prodotto,Opzioni Specifiche,Proprietà Chiave-Valore,URL Immagine Prodotto
WTAPE19,0,NASTRO ADESIVO SYR 9410 W-TAPE 19X66 TRASPARENTE -,1,1.1,捌.零捌,999,,📦,,,
WTAPE15,0,NASTRO ADESIVO SYR 9409 W-TAPE 15X66 TRASPARENTE -,1,1,玖,999,,📦,,,
VT45,0,GP 5710 TRINATO TONDO 45,1,3,零.柒壹,999,,📦,,,
VT42,0,GP 5709 TRINATO TONDO 42,1,2.2,零.陆陆,999,,📦,,,
VT39,0,GP 5708 TRINATO TONDO 38/9CM,1,3.2,壹.肆叁,999,,📦,,,
VT36,0,GP 5707 TRINATO TONDO 36CM,1,2.6,壹.零肆,999,,📦,,,
VT33,0,GP 5706 TRINATO TONDO 33CM,1,2.1,壹.零肆,999,,📦,,,
VT30,0,GP 5705 TRINATO TONDO 30CM,1,1.7,零.柒柒,999,,📦,,,
VT27,0,GP 5704 TRINATO TONDO 27/28CM,1,1.3,零.陆,999,,📦,,,
VT24,0,GP 5703 TRINATO TONDO 24,1,0.7,零.叁壹,999,,📦,,,
VT21,0,GP 5702 TRINATO TONDO 21,1,0.5,零.贰贰,999,,📦,,,
VT18,0,GP 5701 TRINATO TONDO 18,1,0.4,零.壹陆,999,,📦,,,
VT 2650,0,GP 5722/AC TRINATO RETT. 22X37,1,1.4,零,999,,📦,,,
VT 2640,0,GP 5721 TRINATO RETT.26X40,1,1.7,零.捌贰,999,,📦,,,
VT 1934,0,GP 5719 TRINATO RETT.19X34,1,1.1,零.伍,999,,📦,,,
VT 1630,0,GP 5717 VASSOIO TRINATO RETTANGOLARE 16X30,1,0.9,零.叁捌,999,,📦,,,
VS36,0,GP 5735/A DIAMANTE TONDO 36 TRASPARENTE,1,2.4,壹.壹,999,,📦,,,
VS33,0,GP 5735 DIAMANTE TONDO 33 TRASPARENTE,1,2.1,零.捌捌,999,,📦,,,
VS30,0,GP 5734 DIAMANTE TONDO 30 TRASPARENTE,1,1.8,零.柒捌,999,,📦,,,
VS27,0,GP 5733 DIAMANTE TONDO 27 TRASPARENTE,1,1.5,零.陆陆,999,,📦,,,
VS24,0,GP 5732 DIAMANTE TONDO 24 TRASPARENTE,1,1.1,零.肆肆,999,,📦,,,
VS21,0,GP 5731 DIAMANTE TONDO 21 TRASPARENTE,1,0.9,零.叁贰,999,,📦,,,
VS18,0,GP 5730 DIAMANTE TONDO 18 TRASPARENTE,1,0.7,零.贰柒,999,,📦,,,
VS12,0,GP 4638 DIAMANTE TONDO 12.5 TRASPARENTE,1,0.5,零.壹陆,999,,📦,,,
T80,0,LUMINO VOTIVO MUT CM21 T80,1,2,零.柒柒,999,,📦,,,
T45,0,SCO TORTA 45X45X7-CFX10-DA,1,4,壹拾柒.陆捌,999,,📦,,,
T43,0,SCO TORTA 43X43X7-CFX10-DA,1,3.5,壹拾伍.捌,999,,📦,,,
T41,0,SCO 35997 TORTA 41X41X7-CFX10-DA,1,3.3,零,999,,📦,,,
T39,0,SCO 35997 TORTA 39X39X7-CFX10-DAMASCATO AVORIO,1,3,壹拾贰.零捌,999,,📦,,,
T36,0,SCO 35996 TORTA 36X36X7-CFX10-DAMASCATO AVORIO,1,2.7,玖,999,,📦,,,
T33,0,SCO 35995 TORTA 33X33X7-CFX10-DA,1,2.4,捌.贰肆,999,,📦,,,
T31,0,SCO 35994 TORTA 31X31X7-CFX10-DAMASCATO AVORIO,1,2.1,捌.贰肆,999,,📦,,,
T29,0,SCO 35993 TORTA 29X29X7-CFX10-DAMASCATO AVORIO,1,1.8,陆.零叁,999,,📦,,,
T27,0,SCO 35992 TORTA 27X27X7-CFX10,1,1.7,零.伍捌,999,,📦,,,
T25,0,SCO 35991 TORTA 25X25X7-CFX10,1,1.6,伍.肆玖,999,,📦,,,
T24,0,SCO 35952 PORTAPASTE 240X170X60-CFX10-DAMASCATO AV,1,1.1,伍.壹陆,999,,📦,,,
T23,0,SCO 35991 TORTA 23X23X7-CFX10,1,1.5,零.柒壹,999,,📦,,,
T21,0,SCO 35991 TORTA 21X21X7-CFX10,1,1.4,零.陆捌,999,,📦,,,
T100,0,LUMINO VOTIVO MUT T100 ROSSO,1,2.3,壹.壹陆,999,,📦,,,
su,0,SPAZZOLA TERGICRISTALLO AUTO MULTIATACCO 9+1,1,4,壹.柒,999,,📦,,,
STELLEFP,0,STELLE FILANTI CARTA ECONOM.T.U+STAMPATE,1,0.5,零.贰叁,999,,📦,,,
SFT802,0,STELLINA 38CM,1,2.8,壹.贰,999,,📦,,,
N9,0,0.25/2PZ-1€/10PZ,1,0.13,零.壹叁,999,,📦,,,
N8,0,0.25/2PZ-1€/11PZ,1,0.13,零.壹叁,999,,📦,,,
N7,0,0.25/2PZ-1€/12PZ,1,0.13,零.壹叁,999,,📦,,,
N6,0,BUSTE TRASPARENTI PNP 10*20,1,0.1,壹拾叁,999,,📦,,,
N6,0,0.10/PZ-1€/13PZ,1,0.1,零.壹,999,,📦,,,
N5,0,BUSTE TRASPARENTI PNP 12*17.5,1,0.09,壹拾肆,999,,📦,,,
N5,0,0.10/PZ-1€/14PZ,1,0.09,零.零玖,999,,📦,,,
N4,0,0.10/PZ-1€/14PZ,1,0.1,零.壹,999,,📦,,,
N3,0,BUSTE TRASPARENTI PNP 8*15,1,0.08,壹拾伍,999,,📦,,,
N3,0,0.15/2PZ-1€/15PZ,1,0.08,零.零捌,999,,📦,,,
N21,0,0.50/PZ-1€/2PZ,1,0.5,零.伍,999,,📦,,,
N20,0,0.35/PZ-1€/3PZ,1,0.35,零.叁伍,999,,📦,,,
N2,0,0.15/2PZ-1€/16PZ,1,0.08,零.零捌,999,,📦,,,
N19,0,0.55/2PZ-1€/4PZ,1,0.28,零.贰捌,999,,📦,,,
N18,0,0.55/2PZ-1€/4PZ,1,0.28,零.贰捌,999,,📦,,,
N17,0,0.25/PZ-1€/5PZ,1,0.25,零.贰伍,999,,📦,,,
N16,0,0.20/PZ-1€/5PZ,1,0.2,零.贰,999,,📦,,,
N15B,0,0.35/2PZ-1€/6PZ,1,0.18,零.壹捌,999,,📦,,,
N15,0,0.35/2PZ-1€/6PZ,1,0.18,零.壹捌,999,,📦,,,
N14,0,0.35/2PZ-1€/7PZ,1,0.18,零.壹捌,999,,📦,,,
N13,0,0.35/2PZ-1€/7PZ,1,0.18,零.壹捌,999,,📦,,,
N12,0,0.15/PZ-1€/7PZ,1,0.16,零.壹陆,999,,📦,,,
N11B,0,0.15/PZ-1€/8PZ,1,0.15,零.壹伍,999,,📦,,,
N11,0,0.15/PZ-1€/8PZ,1,0.15,零.壹伍,999,,📦,,,
N10,0,0.15/PZ-1€/9PZ,1,0.15,零.壹伍,999,,📦,,,
N1,0,0.15/2PZ-1€/17PZ,1,0.08,零.零捌,999,,📦,,,
N.9,0,BUSTE TRASPARENTI PNP 20x25,1,0.13,零.壹叁,999,,📦,,,
N.8,0,BUSTE TRASPARENTI PNP 15x25,1,0.13,零.壹叁,999,,📦,,,
N.7,0,BUSTE TRASPARENTI PNP 10x30,1,0.13,零.壹叁,999,,📦,,,
N.6,0,BUSTE TRASPARENTI PNP 10x20,1,0.1,零.壹,999,,📦,,,
N.5,0,BUSTE TRASPARENTI PNP 12x17.5,1,0.09,零.零玖,999,,📦,,,
N.4,0,BUSTE TRASPARENTI PNP 10x15,1,0.1,零.壹,999,,📦,,,
N.3,0,BUSTE TRASPARENTI PNP 8x15,1,0.08,零.零捌,999,,📦,,,
N.21,0,BUSTE TRASPARENTI PNP 50x70,1,0.5,零.伍,999,,📦,,,
N.2,0,BUSTE TRASPARENTI PNP 40x60,1,0.35,零.叁伍,999,,📦,,,
N.2,0,BUSTE TRASPARENTI PNP 7.5x11.5,1,0.08,零.零捌,999,,📦,,,
N.19,0,BUSTE TRASPARENTI PNP 40*50,1,0.28,零.贰捌,999,,📦,,,
N.18,0,BUSTE TRASPARENTI PNP 35x50,1,0.28,零.贰捌,999,,📦,,,
N.17,0,BUSTE TRASPARENTI PNP 30x50,1,0.25,零.贰伍,999,,📦,,,
N.16,0,BUSTE TRASPARENTI PNP 30x40,1,0.2,零.贰,999,,📦,,,
N.15,0,BUSTE TRASPARENTI PNP 25x40,1,0.18,零.壹捌,999,,📦,,,
N.14,0,BUSTE TRASPARENTI PNP 25x35,1,0.18,零.壹捌,999,,📦,,,
N.13,0,BUSTE TRASPARENTI PNP 20x40,1,0.18,零.壹捌,999,,📦,,,
N.12,0,BUSTE TRASPARENTI PNP 22x30,1,0.16,零.壹陆,999,,📦,,,
N.11,0,BUSTE TRASPARENTI PNP 20x30,1,0.15,零.壹伍,999,,📦,,,
N.1,0,BUSTE TRASPARENTI PNP 15x35,1,0.15,零.壹伍,999,,📦,,,
N.1,0,BUSTE TRASPARENTI PNP 6x10,1,0.08,零.零捌,999,,📦,,,
LR1,0,E90,1,1.2,零.伍,999,,📦,,,
GP 4836,0,GP 4836 PAPERINO 37X48,1,3.6,壹.柒陆,999,,📦,,,
GP 2943,0,GP 5727 ESPOSIZIONE 29X43,1,2.3,壹.壹,999,,📦,,,
GP 2838,0,GP 5726/A ESPOSIZIONE 28X38,1,3.2,壹.伍肆,999,,📦,,,
GP 2331,0,GP 5725 ESPOSIZIONE 23X31,1,1.3,零,999,,📦,,,
GP 2026,0,GP 5724 ESPOSIZIONE 20X26.5,1,0.9,零.叁叁,999,,📦,,,
D25,0,MON VASSOIO TONDO ORO D25,1,0.4,壹拾叁.贰玖,999,,📦,,,
D20,0,MON VASSOIO TONDO ORO D20,1,0.3,壹拾叁.贰玖,999,,📦,,,
CI27,0,GP 6800 ZUPPIERA LADY CM27,1,2.1,壹.零叁,999,,📦,,,
CI24,0,GP 6799 ZUPPIERA LADY CM24,1,1.7,零.捌贰,999,,📦,,,
CI21,0,GP 6798 ZUPPIERA LADY CM21,1,1.4,零.陆陆,999,,📦,,,
AG9,0,LR.45.394.SR.936.194,1,0.5,零,999,,📦,,,
AG8,0,LR.55.391.SR.1120.191.LR.1121,1,0.5,零.贰,999,,📦,,,
AG7,0,LR.927.LR.57.395.SR.927.195,1,0.5,零,999,,📦,,,
AG6,0,LR.920.LR.921.LR.69.371.171,1,0.5,零.贰,999,,📦,,,
AG5,0,LR.754.393.SR.754.193,1,0.5,零.贰,999,,📦,,,
AG4,0,LR.626.LR.66.377.SR.626.177,1,0.5,零.贰,999,,📦,,,
AG3,0,LR.41.LR.736.392.SR41.192.41,1,0.5,零.贰,999,,📦,,,
AG2,0,LR.726.LR.59.396.SR.726.196,1,0.5,零,999,,📦,,,
AG13,0,LR.44.357.SR.44.A.76.LR.1154,1,0.5,零.贰,999,,📦,,,
AG12,0,LR.43.386.SR.43.186.LR.1142,1,0.5,零.贰,999,,📦,,,
AG11,0,LR.58.362.SR.721.162,1,0.5,零.贰,999,,📦,,,
AG10,0,LR.54.389.SR.1130.189.LR.1130,1,0.5,零.贰,999,,📦,,,
AG1,0,LR.621.LR.60.364.SR.621.164,1,0.5,零.贰,999,,📦,,,
AG0,0,LR.69.LR.63.379.SR.521,1,0.5,零.贰,999,,📦,,,
AAA,0,LR.03.R.03,1,1,零.贰叁,999,,📦,,,
AA,0,LR.6.R.6P,1,1,零.叁,999,,📦,,,
A7227201868885A,0,A7227201868885A,1,1.4,零,999,,📦,,,
9V,0,6F22.6LR.61,1,1.2,零.伍,999,,📦,,,
9CM,0,pallone di polistirolo 9CM 20PZ,1,0.8,零.贰贰,999,,📦,,,
9956184015563,0,BOX REGALO 10*10*15CM ROSSO4 DECORI,1,0.8,零.叁壹,999,,📦,,,
9909050528957,0,OGGETTO,1,1,零.叁伍,999,,📦,,,
98003510031023,0,NITRA SAPONE LIQUIDO 1LT,1,1.6,零,999,,📦,,,
9800000011504,0,GUSCIO UOVO,1,3.9,壹.伍,999,,📦,,,
9800000005033,0,SVEGLIA DIGITALE 8082,1,6.5,叁,999,,📦,,,
9800000001370,0,BOLLE SAPONE,1,0.9,壹拾伍,999,,📦,,,
